Time,AY,AX,AV,AH
0,6918869,362024,0.0,90.0
1,6918869.0,362024.0,6.01,90.0
2,6918869.0,362024.6009948341,11.62,89.8
3,6918869.004236914,362025.76314530894,16.84,89.4
4,6918869.022248984,362027.4471467077,21.68,88.8
5,6918869.067582108,362029.61467532296,26.16,88.0
6,6918869.156658928,362032.2287182313,30.29,87.1
7,6918869.307824586,362035.2537828414,34.1,86.1
8,6918869.540567514,362038.65599013347,37.62,84.9
9,6918869.874900858,362042.40306179924,40.87,83.6
10,6918870.330881295,362046.46421607444,43.87,82.2
11,6918870.928237213,362050.8099898905,46.64,80.6
12,6918871.686077022,362055.41200636356,49.21,79.0
13,6918872.622649886,362060.2427070339,51.58,77.3
14,6918873.755134629,362065.27506811684,53.78,75.5
15,6918875.099437278,362070.48231964855,55.81,73.7
16,6918876.669983194,362075.83768597594,57.68,71.7
17,6918878.47949573,362081.3141655282,59.39,69.7
18,6918880.538759603,362086.884367021,60.94,67.6
19,6918882.856373504,362092.52041785914,62.33,65.5
20,6918885.438502636,362098.1939581097,63.57,63.4
21,6918888.288647373,362103.8762296288,64.64,61.2
22,6918891.40744855,362109.5382644866,65.55,58.9
23,6918894.792552277,362115.1511697467,66.28,56.6
24,6918898.438556954,362120.68649729394,66.85,54.3
25,6918902.33706172,362126.1166785675,67.24,52.0
26,6918906.476829006,362131.4154959216,67.47,49.7
27,6918910.844064314,362136.5585562806,67.54,47.3
28,6918915.422805175,362141.52373008314,67.46,45.0
29,6918920.195399938,362146.2915200846,67.24,42.6
30,6918925.143047361,362150.84533056786,66.9,40.3
31,6918930.24636177,362155.1716171899,66.46,38.0
32,6918935.485926695,362159.2599096293,65.93,35.7
33,6918940.842802685,362163.10271149524,65.33,33.4
34,6918946.298961714,362166.69529274676,64.68,31.1
35,6918951.83762987,362170.0353977001,64.0,28.799999999999997
36,6918957.443530133,362173.1228958392,63.31,26.6
37,6918963.103026479,362175.9594031076,62.61,24.400000000000006
38,6918968.804178101,362178.54789879156,61.93,22.200000000000003
39,6918974.536717612,362180.8923585062,61.28,20.099999999999994
40,6918980.291969652,362182.9974182241,60.66,18.0
41,6918986.06272668,362184.86807868705,60.09,15.900000000000006
42,6918991.843097477,362186.5094545565,59.56,13.799999999999997
43,6918997.628341611,362187.92656867544,59.09,11.700000000000003
44,6919003.414700376,362189.1241889326,58.67,9.599999999999994
45,6919009.199231994,362190.1067033947,58.32,7.599999999999994
46,6919014.979656285,362190.8780284182,58.02,5.599999999999994
47,6919020.754211936,362191.44154417503,57.78,3.5999999999999943
48,6919026.521527813,362191.80005221354,57.61,1.5
49,6919032.28050845,362191.9557501552,57.45,-0.5
50,6919038.0249299295,362191.9102612509,57.12,-2.5
51,6919043.731554414,362191.666060775,56.67,-4.400000000000006
52,6919049.3811887335,362191.22781622224,56.12,-6.400000000000006
53,6919054.958542446,362190.60171352484,55.52,-8.400000000000006
54,6919060.451919413,362189.7948548486,54.89,-10.299999999999997
55,6919065.852800927,362188.81475380884,54.25,-12.200000000000003
56,6919071.155374275,362187.66893747164,53.62,-14.099999999999994
57,6919076.356050907,362186.3646519109,53.01,-15.900000000000006
58,6919081.453006437,362184.90865997755,52.43,-17.799999999999997
59,6919086.445763164,362183.3071158431,51.9,-19.599999999999994
60,6919091.334825916,362181.565499868,51.41,-21.400000000000006
61,6919096.121374609,362179.6885983448,50.98,-23.200000000000003
62,6919100.807011758,362177.68051476806,50.59,-25.0
63,6919105.393560107,362175.5447017963,50.26,-26.700000000000003
64,6919109.88290392,362173.284005565,49.99,-28.5
65,6919114.276867037,362170.9007162321,49.92,-30.0
66,6919118.598925206,362168.40335823875,50.08,-31.299999999999997
67,6919122.877699282,362165.80175764643,50.41,-32.3
68,6919127.136464748,362163.10463673994,50.88,-33.2
69,6919131.3944753045,362160.3202484746,51.44,-33.8
70,6919135.668042298,362157.45676316373,52.08,-34.3
71,6919139.971136498,362154.52244444087,52.78,-34.599999999999994
72,6919144.316001735,362151.52577179874,53.51,-34.8
73,6919148.71296887,362148.47536181763,54.27,-34.8
74,6919153.171085771,362145.3800248298,54.9,-34.7
75,6919157.686041181,362142.2569136383,55.38,-34.5
76,6919162.252117753,362139.1224781222,55.76,-34.2
77,6919166.864673131,362135.9901681798,56.03,-33.8
78,6919171.519881196,362132.8713551011,56.24,-33.400000000000006
79,6919176.214525384,362129.77519772237,56.38,-32.900000000000006
80,6919180.945871865,362126.7092666425,56.47,-32.400000000000006
